channel_id,rel_x,rel_y,ccf_ap,ccf_dv,ccf_ml,region_id,acronym
204,758.0,2250.0,9380.799083234539,2158.8885481933708,5779.3765252445955,26,SCdg
205,790.0,2250.0,9380.799083234539,2159.7833031134287,5811.364013636669,26,SCdg
206,758.0,2265.0,9378.519096650618,2144.0686353978904,5779.791068259854,26,SCdg
207,790.0,2265.0,9378.519096650618,2144.9633903179483,5811.778556651927,26,SCdg
208,758.0,2280.0,9376.239110066697,2129.24872260241,5780.2056112751125,26,SCdg
209,790.0,2280.0,9376.239110066697,2130.143477522468,5812.193099667185,26,SCdg
210,758.0,2295.0,9373.959123482779,2114.4288098069296,5780.620154290371,26,SCdg
211,790.0,2295.0,9373.959123482779,2115.3235647269876,5812.607642682444,26,SCdg
212,758.0,2310.0,9371.679136898858,2099.6088970114492,5781.034697305629,17,SCiw
213,790.0,2310.0,9371.679136898858,2100.503651931507,5813.022185697702,26,SCdg
214,758.0,2325.0,9369.399150314937,2084.788984215969,5781.449240320886,17,SCiw
215,790.0,2325.0,9369.399150314937,2085.683739136027,5813.43672871296,17,SCiw
216,758.0,2340.0,9367.119163731018,2069.9690714204885,5781.8637833361445,17,SCiw
217,790.0,2340.0,9367.119163731018,2070.8638263405464,5813.851271728218,17,SCiw
218,758.0,2355.0,9364.839177147098,2055.149158625008,5782.278326351403,17,SCiw
219,790.0,2355.0,9364.839177147098,2056.043913545066,5814.265814743477,17,SCiw
220,758.0,2370.0,9362.559190563177,2040.3292458295273,5782.692869366661,17,SCiw
221,790.0,2370.0,9362.559190563177,2041.2240007495852,5814.680357758734,17,SCiw
222,758.0,2385.0,9360.279203979257,2025.509333034047,5783.10741238192,17,SCiw
223,790.0,2385.0,9360.279203979257,2026.4040879541049,5815.094900773993,17,SCiw
224,758.0,2400.0,9357.999217395338,2010.6894202385665,5783.521955397178,10,SCig
225,790.0,2400.0,9357.999217395338,2011.5841751586245,5815.509443789251,10,SCig
226,758.0,2415.0,9355.719230811417,1995.8695074430861,5783.936498412437,10,SCig
227,790.0,2415.0,9355.719230811417,1996.764262363144,5815.92398680451,10,SCig
228,758.0,2430.0,9353.439244227497,1981.0495946476058,5784.351041427693,10,SCig
229,790.0,2430.0,9353.439244227497,1981.9443495676637,5816.338529819767,10,SCig
230,758.0,2445.0,9351.159257643578,1966.2296818521252,5784.765584442952,10,SCig
231,790.0,2445.0,9351.159257643578,1967.1244367721831,5816.753072835026,10,SCig
232,758.0,2460.0,9348.879271059657,1951.4097690566446,5785.18012745821,10,SCig
233,790.0,2460.0,9348.879271059657,1952.3045239767025,5817.167615850284,10,SCig
234,758.0,2475.0,9346.599284475737,1936.5898562611642,5785.594670473469,10,SCig
235,790.0,2475.0,9346.599284475737,1937.4846111812221,5817.582158865542,10,SCig
236,758.0,2490.0,9344.319297891818,1921.7699434656838,5786.009213488727,10,SCig
237,790.0,2490.0,9344.319297891818,1922.6646983857418,5817.9967018808,10,SCig
238,758.0,2505.0,9342.039311307897,1906.9500306702034,5786.423756503986,10,SCig
239,790.0,2505.0,9342.039311307897,1907.8447855902614,5818.411244896059,10,SCig
240,758.0,2880.0,9285.039646709894,1536.4522107831922,5796.78733188544,842,SCsg
241,790.0,2880.0,9285.039646709894,1537.3469657032501,5828.774820277513,842,SCsg
242,758.0,2895.0,9282.759660125976,1521.6322979877118,5797.201874900698,842,SCsg
243,790.0,2895.0,9282.759660125976,1522.5270529077698,5829.189363292771,842,SCsg
244,758.0,2910.0,9280.479673542055,1506.8123851922312,5797.616417915957,842,SCsg
245,790.0,2910.0,9280.479673542055,1507.7071401122892,5829.60390630803,842,SCsg
246,758.0,2925.0,9278.199686958134,1491.9924723967508,5798.030960931215,842,SCsg
247,790.0,2925.0,9278.199686958134,1492.8872273168088,5830.018449323288,842,SCsg
248,758.0,2940.0,9275.919700374216,1477.1725596012705,5798.445503946472,842,SCsg
249,790.0,2940.0,9275.919700374216,1478.0673145213284,5830.432992338546,842,SCsg
250,758.0,2955.0,9273.639713790295,1462.3526468057898,5798.86004696173,842,SCsg
251,790.0,2955.0,9273.639713790295,1463.2474017258478,5830.847535353804,842,SCsg
252,758.0,2970.0,9271.359727206374,1447.5327340103095,5799.274589976989,842,SCsg
253,790.0,2970.0,9271.359727206374,1448.4274889303674,5831.262078369063,842,SCsg
